"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Blattsalat TA"	"CHF 70,00"	""	"CHF 5,00"	""	""	""	"CHF 5,00"	""	""	"CHF 5,00"	""	"CHF 10,00"	""	"CHF 10,00"	""	""	""	""	"CHF 10,00"	""	"CHF 5,00"	""	""	"CHF 5,00"	""	"CHF 15,00"	""	""	""	""	""	""
"Tataki Tuna"	"CHF 56,00"	"CHF 14,00"	""	""	""	""	"CHF 14,00"	""	""	""	""	""	""	""	"CHF 14,00"	""	""	""	""	""	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""	""
"Rucola"	"CHF 55,00"	""	""	""	""	""	""	""	""	""	"CHF 5,00"	""	""	""	"CHF 5,00"	""	""	""	""	""	"CHF 20,00"	"CHF 5,00"	"CHF 5,00"	"CHF 5,00"	""	""	""	"CHF 5,00"	"CHF 5,00"	""	""	""
"Mediteranisches Gemüse"	"CHF 54,00"	"CHF 6,00"	""	""	""	""	""	"CHF 6,00"	""	"CHF 6,00"	""	""	""	"CHF 6,00"	"CHF 6,00"	""	""	""	""	""	""	"CHF 6,00"	""	""	""	""	""	"CHF 6,00"	""	"CHF 12,00"	""	""
"Pommes"	"CHF 54,00"	""	""	""	""	""	""	""	""	""	""	"CHF 12,00"	"CHF 6,00"	""	""	""	""	"CHF 6,00"	""	""	"CHF 12,00"	""	"CHF 6,00"	""	""	"CHF 6,00"	""	""	"CHF 6,00"	""	""	""
"Paradise rolls"	"CHF 52,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 52,50"	""	""	""	""	""
"Burrata"	"CHF 42,00"	""	""	""	"CHF 21,00"	""	"CHF 7,00"	"CHF 7,00"	""	""	""	""	""	""	""	""	""	""	"CHF 7,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Das Eggs Benedict"	"CHF 36,00"	"CHF 16,00"	""	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	"CHF 4,00"	""	""
"Thunfisch Steak"	"CHF 36,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 36,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Kinder Gemüse"	"CHF 30,00"	""	""	""	""	""	""	"CHF 10,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 10,00"	""	""	""	""	""	""	""	"CHF 10,00"	""	""
"Raviolini Ratatouille"	"CHF 29,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 29,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tataki Salmon"	"CHF 28,00"	"CHF 14,00"	""	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Poulet menu"	"CHF 28,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 28,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Hinterschinken"	"CHF 25,00"	""	""	""	""	"CHF 5,00"	""	""	""	""	""	""	""	"CHF 5,00"	""	""	""	""	""	""	""	"CHF 10,00"	""	""	""	""	""	"CHF 5,00"	""	""	""	""
"Griechischer Salat gross"	"CHF 25,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 25,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Cesar salat"	"CHF 25,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 25,00"	""	""	""	""	""	""	""	""	""	""	""	""
"Risotto"	"CHF 18,00"	""	""	""	""	"CHF 6,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 12,00"	""	""	""
"Diverses Food (Speisen)"	"CHF 10,00"	""	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	""	""	""	"CHF 3,00"	""	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""
"Schwarzer Trüffel"	"CHF 9,00"	""	""	""	""	""	""	""	""	""	""	"CHF 9,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Creme Fraiche"	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 4,00"	""	""	""
"Parmaschinken"	"CHF 8,00"	""	""	""	""	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Aufpreis Gamberi"	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Lachs"	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	""	""	""
"Trüffel"	"CHF 7,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 7,00"	""	""	""	""	""	""	""	""	""	""	""
"Linguine"	"CHF 6,00"	""	""	""	""	""	""	""	"CHF 6,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Chicken"	"CHF 5,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 5,00"	""	""	""	""	""	""	""	""	""	""	""	""
"Poulet Pizza"	"CHF 5,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 5,00"	""	""	""	""	""	""	""	""	""	""
"Diverses Fleisch"	"CHF 4,00"	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Brot"	"CHF 3,50"	""	""	""	""	""	"CHF 3,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"extra ei"	"CHF 3,00"	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Nuggets"	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""
"À point"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"Bien cuit"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""
"Pizza und Küche"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
