"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Molto Negre Cava Brut nature Rosé 10cl"	"38"	"2"	""	""	"2"	""	"11"	"1"	""	"2"	""	""	""	""	"2"	"9"	"1"	""	""	""	"4"	""	""	""	""	""	""	"2"	"1"	"1"	""	""
"Caffè al Affogato"	"38"	""	""	""	"8"	""	"5"	"1"	""	""	""	""	"1"	"1"	"4"	""	""	"2"	"2"	""	"2"	"5"	"1"	"2"	"1"	""	""	"3"	""	""	""	""
"Amaretto Sour"	"37"	""	""	""	""	""	"1"	"2"	"1"	""	""	""	""	"2"	"14"	"1"	""	""	"3"	"2"	""	"5"	""	""	""	""	"3"	"1"	"2"	""	""	""
"Hendrick's 4cl"	"35"	""	""	"1"	""	""	"11"	"6"	""	"2"	""	""	""	"3"	""	""	""	""	""	"1"	"1"	""	""	""	""	"3"	""	"1"	"6"	""	""	""
"Forever Young"	"33"	""	""	""	""	""	"7"	"2"	"2"	""	"1"	""	""	"1"	"4"	"1"	""	""	"3"	""	""	"2"	"1"	""	"2"	""	"1"	"5"	""	"1"	""	""
"Verveine"	"29"	"1"	""	"2"	"1"	"3"	""	""	""	"1"	"2"	"1"	""	"2"	"2"	""	"2"	"1"	"3"	"1"	""	"1"	"1"	""	""	""	""	"2"	""	"3"	""	""
"Moscow Mule"	"29"	""	""	"1"	""	"6"	""	""	"3"	"2"	""	""	""	""	"4"	""	""	""	""	"1"	"1"	"1"	""	"1"	""	""	""	"2"	"6"	"1"	""	""
"Gin Basil Smash"	"29"	""	""	""	""	"2"	"2"	"2"	"2"	"2"	""	"1"	""	"3"	"2"	""	""	""	"4"	"1"	"2"	"1"	""	""	""	""	""	"5"	""	""	""	""
"Earl Grey"	"28"	"1"	""	""	""	"1"	"1"	"2"	""	""	""	"3"	"1"	""	"1"	"1"	""	""	""	"2"	"1"	"4"	"4"	"3"	""	""	""	"1"	"2"	""	""	""
"Hugo Zero"	"28"	""	""	""	"1"	"2"	"1"	""	"1"	"1"	""	""	""	"4"	"3"	""	""	""	""	""	"2"	"1"	"1"	""	""	""	"8"	"2"	"1"	""	""	""
"Cola Zero 0,5"	"27"	"2"	""	"1"	""	""	""	"2"	""	""	"1"	""	"2"	"5"	""	""	"1"	"1"	""	"1"	"1"	""	"5"	""	"1"	"1"	""	"1"	"2"	""	""	""
"Cola 0,5"	"27"	""	""	"1"	""	"1"	""	"2"	"1"	""	"3"	"1"	""	"4"	""	""	"2"	"4"	"2"	"1"	"1"	""	"1"	""	"1"	""	""	"2"	""	""	""	""
"Kindersirup"	"26"	"1"	""	"3"	""	"2"	""	"3"	"2"	""	""	""	""	"1"	"2"	"1"	""	""	""	"1"	""	"6"	""	"2"	""	""	"2"	""	""	""	""	""
"Campari 4cl"	"26"	""	""	""	""	"1"	"3"	"1"	""	""	"2"	"2"	""	""	""	"1"	""	"1"	"1"	""	""	"1"	""	"2"	"2"	""	"1"	"6"	"2"	""	""	""
"Limoncello 4cl"	"26"	""	""	""	""	""	"2"	"4"	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	"1"	""	""	""	""	"5"	"9"	""	""	""
"Kaffee To go"	"25"	""	""	"5"	""	""	""	"1"	""	"2"	""	"4"	""	""	""	""	""	"5"	"4"	""	""	""	""	""	"2"	"2"	""	""	""	""	""	""
"Ginger Lemon"	"25"	""	"2"	"4"	""	""	""	"1"	"3"	""	""	""	""	"3"	""	""	""	"2"	"2"	""	""	"1"	""	"1"	""	""	"1"	"4"	"1"	""	""	""
"Crodino 17,5cl"	"24"	""	""	""	""	""	"1"	""	"1"	""	"4"	"3"	""	""	"1"	""	""	"1"	""	"2"	"1"	"2"	"3"	"1"	""	"4"	""	""	""	""	""	""
"Moscato d'Asti 10cl"	"24"	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	"1"	""	""	"1"	"5"	"4"	"5"	""	""	""
"Sanbitter 10cl"	"22"	"2"	""	""	""	""	""	"1"	"2"	"1"	""	""	""	""	""	""	""	"2"	"2"	"1"	"2"	"3"	""	""	"1"	""	"2"	""	"3"	""	""	""
"Fever Tree Tonic 20cl"	"22"	""	"1"	"1"	""	"2"	"1"	"4"	""	""	""	""	"2"	"1"	""	""	""	"1"	"1"	""	"3"	"1"	""	"1"	""	""	"1"	"1"	"1"	""	""	""
"Espresso Decaf"	"22"	""	""	""	"4"	"1"	"1"	"1"	"1"	""	""	""	"2"	""	""	"1"	""	"2"	"2"	"1"	"2"	""	""	"4"	""	""	""	""	""	""	""	""
"Frangelico 4cl"	"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""
"Haru Rosado 10cl"	"21"	""	"2"	""	""	""	""	"3"	""	""	""	""	"6"	""	"1"	"2"	""	"1"	""	""	""	"1"	""	""	""	"2"	""	"2"	"1"	""	""	""
"Grappa Nonino il Merlot 4cl"	"21"	""	""	""	"2"	"6"	"1"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	"3"	"1"	""	""	""	"2"	""	"2"	""	""	""	""
"Negroni Spagliato"	"20"	""	""	""	""	""	"2"	"2"	""	"6"	"1"	""	""	"3"	"1"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	"1"	""	""	""
"sauer"	"20"	""	""	""	""	""	"1"	"2"	"1"	""	"1"	"2"	"1"	""	""	""	""	"1"	"1"	""	"1"	""	""	"2"	""	"1"	"1"	""	"5"	""	""	""
"Milano"	"20"	""	""	""	""	"1"	"1"	""	"1"	""	""	""	""	"1"	"5"	""	""	"2"	""	""	"2"	"1"	"1"	""	""	"3"	""	""	"2"	""	""	""
"Jasmine Pearl"	"19"	"4"	"1"	""	""	"3"	""	""	""	""	"1"	"4"	""	""	""	""	""	"2"	""	"1"	""	"1"	"1"	""	""	""	""	""	"1"	""	""	""
"Cappuccino"	"18"	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""
"Fever Tree Bitterlemon 20cl"	"18"	""	""	""	"1"	"1"	""	""	"1"	""	""	""	"1"	"1"	""	"1"	""	""	""	""	"1"	"2"	"5"	""	"3"	""	""	"1"	""	""	""	""
"Fever Tree Ginger Beer 20cl"	"17"	"2"	"1"	""	"2"	"4"	"1"	""	""	""	""	""	""	""	"1"	"1"	""	"2"	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""
"Kaffee Decaf"	"16"	""	""	""	""	""	""	"2"	"1"	""	""	""	""	""	"2"	"2"	"1"	""	""	""	"2"	"1"	"1"	"1"	"1"	""	""	""	"2"	""	""	""
"Eistee 0,5"	"15"	""	""	"1"	""	""	""	"2"	"2"	""	"1"	""	""	"1"	""	"1"	""	"1"	""	"1"	"1"	""	"2"	""	""	""	""	""	"2"	""	""	""
"Fever Tree Ginger Ale 20cl"	"15"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	"3"	""	"1"	""	"2"	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""
"Haus Shot"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"heiss"	"14"	"1"	""	""	""	"1"	"2"	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	"1"	"3"	""	""
"Mojito Zero"	"14"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	"2"	""	""	""	"2"	""	"1"	""	""	""	"1"	"1"	"5"	""	""	""
"frischer Orangensaft"	"13"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""
"Gin Mare 4cl"	"13"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	"1"	""	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""
"Orangensaft 30cl"	"13"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	"1"	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	"2"	"4"	""	""
"Epesses Vignefol 75cl"	"13"	""	""	""	""	""	""	""	""	"1"	""	""	"4"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""
"mit Hafermilch"	"12"	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	""	""	""	""
"Barbera d'Alba 150cl"	"12"	"1"	""	""	""	"6"	""	""	""	""	""	""	"4"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Schoggi"	"11"	""	""	""	""	"1"	"2"	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	"1"	"1"	""	""
"Hahnenwasser 50cl"	"11"	""	""	""	""	"2"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	"2"	""	""	""	""	"1"	"3"	"1"	""	""	""
"Soda"	"11"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	"1"	""	""	"5"	"2"	""	""	""
"Berner Rosen"	"10"	"3"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	"1"	""	""	""
"Matcha Latte"	"10"	""	""	""	"2"	""	"1"	"1"	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""
"Ingwerer 4cl"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""
"Barbera d‘Alba 75cl"	"9"	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	"1"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""
