"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"ohne Alkohol"	"39"	""	"3"	""	""	"1"	"3"	""	"1"	"1"	""	"1"	""	"2"	"4"	"1"	""	""	""	"3"	"2"	"6"	""	"2"	"2"	""	"1"	"2"	"3"	"1"	""	""
"Kinder Pizza Margherita"	"37"	"2"	"1"	"1"	""	""	""	"4"	"1"	"2"	""	""	"1"	"3"	"2"	""	""	""	""	"1"	"5"	"4"	"4"	""	""	""	""	"2"	"1"	"3"	""	""
"Rainbow Salmon"	"36"	""	""	"1"	"1"	""	"2"	"3"	"3"	"1"	""	"4"	""	"1"	"4"	""	"1"	""	""	"1"	"4"	""	"2"	""	""	""	"1"	"1"	"6"	""	""	""
"Pizza Chorizzo TA"	"35"	"1"	"1"	"2"	"1"	"2"	""	""	""	""	"2"	""	"2"	"3"	""	""	"2"	"2"	"1"	""	"2"	"2"	""	"2"	"5"	"1"	"3"	"1"	""	""	""	""
"Das Seezungenfilet"	"34"	""	"2"	""	""	"3"	"1"	"2"	"1"	""	"1"	""	""	"3"	"1"	"3"	""	"2"	""	""	"1"	"3"	"4"	""	"1"	"1"	"1"	"2"	"1"	"1"	""	""
"mit Lachs"	"33"	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"11"	""	""
"Vanille"	"31"	"1"	""	""	"1"	"1"	"2"	"7"	""	"3"	""	""	""	""	"3"	"1"	""	"1"	""	"2"	"2"	"2"	"2"	""	""	""	"1"	"2"	""	""	""	""
"Das Avocado Toast"	"30"	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"11"	""	""
"Zitronensorbet"	"29"	"1"	""	""	""	"4"	"2"	"3"	"1"	""	""	""	""	"1"	"2"	"1"	""	"3"	"2"	""	"1"	"3"	"2"	"1"	""	""	"1"	""	"1"	""	""	""
"Pistazien Glace"	"28"	"1"	"1"	""	""	"2"	"1"	"1"	"3"	"1"	"1"	""	"1"	""	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	""	""	"1"	""	"1"	""	"1"	""	""
"Pizza Tonno TA"	"27"	"1"	"1"	"1"	""	"3"	"1"	"1"	""	""	"4"	""	""	"2"	""	"1"	""	""	""	"1"	"4"	"2"	"2"	""	""	""	""	""	"2"	"1"	""	""
